activity,130 lb,155 lb,180 lb,205 lb,Calories per kg,avg_calories,calories_per_130lb,calories_per_155lb,calories_per_180lb,calories_per_205lb,intensity,activity_type,normalized_calories_per_kg,estimated_met
"Stretching, hatha yoga",236.0,281.0,327.0,372.0,0.823235629850746,304.0,236.0,281.0,327.0,372.0,Unknown,Flexibility,0.1510863065577038,4.342857142857143
Mild stretching,148.0,176.0,204.0,233.0,0.515199271641791,190.25,148.0,176.0,204.0,233.0,Low,Flexibility,0.0603946581622484,2.717857142857143
Instructing aerobic class,354.0,422.0,490.0,558.0,1.23485344477612,456.0,354.0,422.0,490.0,558.0,Unknown,Other,0.2722742674905326,6.514285714285714
Water aerobics,236.0,281.0,327.0,372.0,0.823235629850746,304.0,236.0,281.0,327.0,372.0,Unknown,Cardio,0.1510863065577038,4.342857142857143
"Ballet, twist, jazz, tap",266.0,317.0,368.0,419.0,0.927494089552239,342.5,266.0,317.0,368.0,419.0,Unknown,Other,0.1817819413992427,4.892857142857143
"Ballroom dancing, slow",177.0,211.0,245.0,279.0,0.61742672238806,228.0,177.0,211.0,245.0,279.0,Low,Cardio,0.0904923260912897,3.257142857142857
"Ballroom dancing, fast",325.0,387.0,449.0,512.0,1.13262599402985,418.25,325.0,387.0,449.0,512.0,High,Cardio,0.2421765995614909,5.975
"Running, 5 mph (12 minute mile)",472.0,563.0,654.0,745.0,1.64782526567164,608.5,472.0,563.0,654.0,745.0,Unknown,Cardio,0.393860873031692,8.692857142857143
"Running, 5.2 mph (11.5 minute mile)",531.0,633.0,735.0,838.0,1.85295717014925,684.25,531.0,633.0,735.0,838.0,Unknown,Cardio,0.4542555311939398,9.775
"Running, 6 mph (10 min mile)",590.0,704.0,817.0,931.0,2.05944308059702,760.5,590.0,704.0,817.0,931.0,Unknown,Cardio,0.5150488339645225,10.864285714285714
"Running, 6.7 mph (9 min mile)",649.0,774.0,899.0,1024.0,2.2652519880597,836.5,649.0,774.0,899.0,1024.0,Unknown,Cardio,0.5756428144309348,11.95
"Running, 7 mph (8.5 min mile)",679.0,809.0,940.0,1070.0,2.36815644179104,874.5,679.0,809.0,940.0,1070.0,Unknown,Cardio,0.6059398046641409,12.492857142857142
"Running, 7.5mph (8 min mile)",738.0,880.0,1022.0,1163.0,2.57464235223881,950.75,738.0,880.0,1022.0,1163.0,Unknown,Cardio,0.6667331074347235,13.582142857142856
"Running, 8 mph (7.5 min mile)",797.0,950.0,1103.0,1256.0,2.77977425671642,1026.5,797.0,950.0,1103.0,1256.0,Unknown,Cardio,0.7271277655969712,14.664285714285716
"Running, 8.6 mph (7 min mile)",826.0,985.0,1144.0,1303.0,2.88267871044776,1064.5,826.0,985.0,1144.0,1303.0,Unknown,Cardio,0.7574247558301774,15.207142857142856
"Running, 9 mph (6.5 min mile)",885.0,1056.0,1226.0,1396.0,3.08916462089552,1140.75,885.0,1056.0,1226.0,1396.0,Unknown,Cardio,0.8182180586007572,16.29642857142857
"Running, 10 mph (6 min mile)",944.0,1126.0,1308.0,1489.0,3.29497352835821,1216.75,944.0,1126.0,1308.0,1489.0,Unknown,Cardio,0.8788120390671723,17.382142857142856
"Running, 10.9 mph (5.5 min mile)",1062.0,1267.0,1471.0,1675.0,3.70659134328358,1368.75,1062.0,1267.0,1471.0,1675.0,Unknown,Cardio,1.0,19.553571428571427
"Running, cross country",531.0,633.0,735.0,838.0,1.85295717014925,684.25,531.0,633.0,735.0,838.0,Unknown,Cardio,0.4542555311939398,9.775
"Running, general",472.0,563.0,654.0,745.0,1.64782526567164,608.5,472.0,563.0,654.0,745.0,Unknown,Cardio,0.393860873031692,8.692857142857143
"Running, on a track, team practice",590.0,704.0,817.0,931.0,2.05944308059702,760.5,590.0,704.0,817.0,931.0,Unknown,Cardio,0.5150488339645225,10.864285714285714
"Running, stairs, up",885.0,1056.0,1226.0,1396.0,3.08916462089552,1140.75,885.0,1056.0,1226.0,1396.0,Unknown,Cardio,0.8182180586007572,16.29642857142857
"Track and field (shot, discus)",236.0,281.0,327.0,372.0,0.823235629850746,304.0,236.0,281.0,327.0,372.0,Unknown,Other,0.1510863065577038,4.342857142857143
"Track and field (high jump, pole vault)",354.0,422.0,490.0,558.0,1.23485344477612,456.0,354.0,422.0,490.0,558.0,High,Other,0.2722742674905326,6.514285714285714
Track and field (hurdles),590.0,704.0,817.0,931.0,2.05944308059702,760.5,590.0,704.0,817.0,931.0,Unknown,Other,0.5150488339645225,10.864285714285714
Archery,207.0,246.0,286.0,326.0,0.721008179104478,266.25,207.0,246.0,286.0,326.0,Unknown,Other,0.1209886386286627,3.803571428571429
Badminton,266.0,317.0,368.0,419.0,0.927494089552239,342.5,266.0,317.0,368.0,419.0,Unknown,Other,0.1817819413992427,4.892857142857143
"Basketball game, competitive",472.0,563.0,654.0,745.0,1.64782526567164,608.5,472.0,563.0,654.0,745.0,Unknown,Other,0.393860873031692,8.692857142857143
"Playing basketball, non game",354.0,422.0,490.0,558.0,1.23485344477612,456.0,354.0,422.0,490.0,558.0,Unknown,Other,0.2722742674905326,6.514285714285714
"Basketball, officiating",413.0,493.0,572.0,651.0,1.44133935522388,532.25,413.0,493.0,572.0,651.0,Unknown,Other,0.3330675702611123,7.603571428571429
"Basketball, shooting baskets",266.0,317.0,368.0,419.0,0.927494089552239,342.5,266.0,317.0,368.0,419.0,Unknown,Other,0.1817819413992427,4.892857142857143
"Basketball, wheelchair",384.0,457.0,531.0,605.0,1.33843490149254,494.25,384.0,457.0,531.0,605.0,Unknown,Other,0.3027705800279061,7.060714285714286
"Running, training, pushing wheelchair",472.0,563.0,654.0,745.0,1.64782526567164,608.5,472.0,563.0,654.0,745.0,Unknown,Cardio,0.393860873031692,8.692857142857143
Billiards,148.0,176.0,204.0,233.0,0.515199271641791,190.25,148.0,176.0,204.0,233.0,Unknown,Other,0.0603946581622484,2.717857142857143
Bowling,177.0,211.0,245.0,279.0,0.61742672238806,228.0,177.0,211.0,245.0,279.0,Unknown,Other,0.0904923260912897,3.257142857142857
"Boxing, in ring",708.0,844.0,981.0,1117.0,2.47106089552239,912.5,708.0,844.0,981.0,1117.0,Unknown,Other,0.63623679489735,13.035714285714286
"Boxing, punching bag",354.0,422.0,490.0,558.0,1.23485344477612,456.0,354.0,422.0,490.0,558.0,Unknown,Other,0.2722742674905326,6.514285714285714
"Boxing, sparring",531.0,633.0,735.0,838.0,1.85295717014925,684.25,531.0,633.0,735.0,838.0,Unknown,Other,0.4542555311939398,9.775
"Coaching: football, basketball, soccer…",236.0,281.0,327.0,372.0,0.823235629850746,304.0,236.0,281.0,327.0,372.0,Unknown,Other,0.1510863065577038,4.342857142857143
"Cricket (batting, bowling)",295.0,352.0,409.0,465.0,1.02972154029851,380.25,295.0,352.0,409.0,465.0,Unknown,Other,0.2118796093282847,5.432142857142857
Croquet,148.0,176.0,204.0,233.0,0.515199271641791,190.25,148.0,176.0,204.0,233.0,Unknown,Other,0.0603946581622484,2.717857142857143
Curling,236.0,281.0,327.0,372.0,0.823235629850746,304.0,236.0,281.0,327.0,372.0,Unknown,Other,0.1510863065577038,4.342857142857143
Darts (wall or lawn),148.0,176.0,204.0,233.0,0.515199271641791,190.25,148.0,176.0,204.0,233.0,Unknown,Other,0.0603946581622484,2.717857142857143
Fencing,354.0,422.0,490.0,558.0,1.23485344477612,456.0,354.0,422.0,490.0,558.0,Unknown,Other,0.2722742674905326,6.514285714285714
"Football, competitive",531.0,633.0,735.0,838.0,1.85295717014925,684.25,531.0,633.0,735.0,838.0,Unknown,Other,0.4542555311939398,9.775
"Football, touch, flag, general",472.0,563.0,654.0,745.0,1.64782526567164,608.5,472.0,563.0,654.0,745.0,Unknown,Other,0.393860873031692,8.692857142857143
"Football or baseball, playing catch",148.0,176.0,204.0,233.0,0.515199271641791,190.25,148.0,176.0,204.0,233.0,Unknown,Other,0.0603946581622484,2.717857142857143
"Frisbee playing, general",177.0,211.0,245.0,279.0,0.61742672238806,228.0,177.0,211.0,245.0,279.0,Unknown,Other,0.0904923260912897,3.257142857142857
"Frisbee, ultimate frisbee",472.0,563.0,654.0,745.0,1.64782526567164,608.5,472.0,563.0,654.0,745.0,Unknown,Other,0.393860873031692,8.692857142857143
"Golf, general",266.0,317.0,368.0,419.0,0.927494089552239,342.5,266.0,317.0,368.0,419.0,Unknown,Other,0.1817819413992427,4.892857142857143
"Golf, walking and carrying clubs",266.0,317.0,368.0,419.0,0.927494089552239,342.5,266.0,317.0,368.0,419.0,Unknown,Other,0.1817819413992427,4.892857142857143
"Golf, driving range",177.0,211.0,245.0,279.0,0.61742672238806,228.0,177.0,211.0,245.0,279.0,Unknown,Other,0.0904923260912897,3.257142857142857
"Golf, miniature golf",177.0,211.0,245.0,279.0,0.61742672238806,228.0,177.0,211.0,245.0,279.0,Unknown,Other,0.0904923260912897,3.257142857142857
"Golf, walking and pulling clubs",254.0,303.0,351.0,400.0,0.885519904477612,327.0,254.0,303.0,351.0,400.0,Unknown,Other,0.1694239585409608,4.671428571428572
"Golf, using power cart",207.0,246.0,286.0,326.0,0.721008179104478,266.25,207.0,246.0,286.0,326.0,Unknown,Other,0.1209886386286627,3.803571428571429
Gymnastics,236.0,281.0,327.0,372.0,0.823235629850746,304.0,236.0,281.0,327.0,372.0,Unknown,Other,0.1510863065577038,4.342857142857143
Hacky sack,236.0,281.0,327.0,372.0,0.823235629850746,304.0,236.0,281.0,327.0,372.0,Unknown,Other,0.1510863065577038,4.342857142857143
Handball,708.0,844.0,981.0,1117.0,2.47106089552239,912.5,708.0,844.0,981.0,1117.0,Unknown,Other,0.63623679489735,13.035714285714286
"Handball, team",472.0,563.0,654.0,745.0,1.64782526567164,608.5,472.0,563.0,654.0,745.0,Unknown,Other,0.393860873031692,8.692857142857143
"Hockey, field hockey",472.0,563.0,654.0,745.0,1.64782526567164,608.5,472.0,563.0,654.0,745.0,Unknown,Other,0.393860873031692,8.692857142857143
"Hockey, ice hockey",472.0,563.0,654.0,745.0,1.64782526567164,608.5,472.0,563.0,654.0,745.0,Unknown,Other,0.393860873031692,8.692857142857143
"Riding a horse, general",236.0,281.0,327.0,372.0,0.823235629850746,304.0,236.0,281.0,327.0,372.0,Unknown,Other,0.1510863065577038,4.342857142857143
"Horesback riding, saddling horse",207.0,246.0,286.0,326.0,0.721008179104478,266.25,207.0,246.0,286.0,326.0,Unknown,Other,0.1209886386286627,3.803571428571429
"Horseback riding, grooming horse",207.0,246.0,286.0,326.0,0.721008179104478,266.25,207.0,246.0,286.0,326.0,Unknown,Other,0.1209886386286627,3.803571428571429
"Horseback riding, trotting",384.0,457.0,531.0,605.0,1.33843490149254,494.25,384.0,457.0,531.0,605.0,Unknown,Other,0.3027705800279061,7.060714285714286
"Horseback riding, walking",148.0,176.0,204.0,233.0,0.515199271641791,190.25,148.0,176.0,204.0,233.0,Unknown,Other,0.0603946581622484,2.717857142857143
"Horse racing, galloping",472.0,563.0,654.0,745.0,1.64782526567164,608.5,472.0,563.0,654.0,745.0,High,Other,0.393860873031692,8.692857142857143
"Horse grooming, moderate",354.0,422.0,490.0,558.0,1.23485344477612,456.0,354.0,422.0,490.0,558.0,Moderate,Other,0.2722742674905326,6.514285714285714
Horseshoe pitching,177.0,211.0,245.0,279.0,0.61742672238806,228.0,177.0,211.0,245.0,279.0,Unknown,Other,0.0904923260912897,3.257142857142857
Jai alai,708.0,844.0,981.0,1117.0,2.47106089552239,912.5,708.0,844.0,981.0,1117.0,Unknown,Other,0.63623679489735,13.035714285714286
"Martial arts, judo, karate, jujitsu",590.0,704.0,817.0,931.0,2.05944308059702,760.5,590.0,704.0,817.0,931.0,Unknown,Other,0.5150488339645225,10.864285714285714
"Martial arts, kick boxing",590.0,704.0,817.0,931.0,2.05944308059702,760.5,590.0,704.0,817.0,931.0,Unknown,Other,0.5150488339645225,10.864285714285714
"Martial arts, tae kwan do",590.0,704.0,817.0,931.0,2.05944308059702,760.5,590.0,704.0,817.0,931.0,Unknown,Other,0.5150488339645225,10.864285714285714
Krav maga training,590.0,704.0,817.0,931.0,2.05944308059702,760.5,590.0,704.0,817.0,931.0,Unknown,Other,0.5150488339645225,10.864285714285714
Juggling,236.0,281.0,327.0,372.0,0.823235629850746,304.0,236.0,281.0,327.0,372.0,Unknown,Other,0.1510863065577038,4.342857142857143
Kickball,413.0,493.0,572.0,651.0,1.44133935522388,532.25,413.0,493.0,572.0,651.0,Unknown,Other,0.3330675702611123,7.603571428571429
Lacrosse,472.0,563.0,654.0,745.0,1.64782526567164,608.5,472.0,563.0,654.0,745.0,Unknown,Other,0.393860873031692,8.692857142857143
Orienteering,531.0,633.0,735.0,838.0,1.85295717014925,684.25,531.0,633.0,735.0,838.0,Unknown,Other,0.4542555311939398,9.775
Playing paddleball,354.0,422.0,490.0,558.0,1.23485344477612,456.0,354.0,422.0,490.0,558.0,Unknown,Other,0.2722742674905326,6.514285714285714
"Paddleball, competitive",590.0,704.0,817.0,931.0,2.05944308059702,760.5,590.0,704.0,817.0,931.0,Unknown,Other,0.5150488339645225,10.864285714285714
Polo,472.0,563.0,654.0,745.0,1.64782526567164,608.5,472.0,563.0,654.0,745.0,Unknown,Other,0.393860873031692,8.692857142857143
"Racquetball, competitive",590.0,704.0,817.0,931.0,2.05944308059702,760.5,590.0,704.0,817.0,931.0,Unknown,Other,0.5150488339645225,10.864285714285714
Playing racquetball,413.0,493.0,572.0,651.0,1.44133935522388,532.25,413.0,493.0,572.0,651.0,Unknown,Other,0.3330675702611123,7.603571428571429
"Rock climbing, ascending rock",649.0,774.0,899.0,1024.0,2.2652519880597,836.5,649.0,774.0,899.0,1024.0,Unknown,Other,0.5756428144309348,11.95
"Rock climbing, rappelling",472.0,563.0,654.0,745.0,1.64782526567164,608.5,472.0,563.0,654.0,745.0,Unknown,Other,0.393860873031692,8.692857142857143
"Jumping rope, fast",708.0,844.0,981.0,1117.0,2.47106089552239,912.5,708.0,844.0,981.0,1117.0,High,Other,0.63623679489735,13.035714285714286
"Jumping rope, moderate",590.0,704.0,817.0,931.0,2.05944308059702,760.5,590.0,704.0,817.0,931.0,Moderate,Other,0.5150488339645225,10.864285714285714
"Jumping rope, slow",472.0,563.0,654.0,745.0,1.64782526567164,608.5,472.0,563.0,654.0,745.0,Low,Other,0.393860873031692,8.692857142857143
Rugby,590.0,704.0,817.0,931.0,2.05944308059702,760.5,590.0,704.0,817.0,931.0,Unknown,Other,0.5150488339645225,10.864285714285714
"Shuffleboard, lawn bowling",177.0,211.0,245.0,279.0,0.61742672238806,228.0,177.0,211.0,245.0,279.0,Unknown,Other,0.0904923260912897,3.257142857142857
Skateboarding,295.0,352.0,409.0,465.0,1.02972154029851,380.25,295.0,352.0,409.0,465.0,Unknown,Other,0.2118796093282847,5.432142857142857
Roller skating,413.0,493.0,572.0,651.0,1.44133935522388,532.25,413.0,493.0,572.0,651.0,Unknown,Other,0.3330675702611123,7.603571428571429
"Roller blading, in-line skating",708.0,844.0,981.0,1117.0,2.47106089552239,912.5,708.0,844.0,981.0,1117.0,Unknown,Other,0.63623679489735,13.035714285714286
Sky diving,177.0,211.0,245.0,279.0,0.61742672238806,228.0,177.0,211.0,245.0,279.0,Unknown,Other,0.0904923260912897,3.257142857142857
"Soccer, competitive",590.0,704.0,817.0,931.0,2.05944308059702,760.5,590.0,704.0,817.0,931.0,Unknown,Other,0.5150488339645225,10.864285714285714
Playing soccer,413.0,493.0,572.0,651.0,1.44133935522388,532.25,413.0,493.0,572.0,651.0,Unknown,Other,0.3330675702611123,7.603571428571429
Softball or baseball,295.0,352.0,409.0,465.0,1.02972154029851,380.25,295.0,352.0,409.0,465.0,Unknown,Other,0.2118796093282847,5.432142857142857
"Softball, officiating",236.0,281.0,327.0,372.0,0.823235629850746,304.0,236.0,281.0,327.0,372.0,Unknown,Other,0.1510863065577038,4.342857142857143
"Softball, pitching",354.0,422.0,490.0,558.0,1.23485344477612,456.0,354.0,422.0,490.0,558.0,Unknown,Other,0.2722742674905326,6.514285714285714
Squash,708.0,844.0,981.0,1117.0,2.47106089552239,912.5,708.0,844.0,981.0,1117.0,Unknown,Other,0.63623679489735,13.035714285714286
"Table tennis, ping pong",236.0,281.0,327.0,372.0,0.823235629850746,304.0,236.0,281.0,327.0,372.0,Unknown,Other,0.1510863065577038,4.342857142857143
Tai chi,236.0,281.0,327.0,372.0,0.823235629850746,304.0,236.0,281.0,327.0,372.0,Unknown,Other,0.1510863065577038,4.342857142857143
Playing tennis,413.0,493.0,572.0,651.0,1.44133935522388,532.25,413.0,493.0,572.0,651.0,Unknown,Other,0.3330675702611123,7.603571428571429
"Tennis, doubles",354.0,422.0,490.0,558.0,1.23485344477612,456.0,354.0,422.0,490.0,558.0,Unknown,Other,0.2722742674905326,6.514285714285714
"Tennis, singles",472.0,563.0,654.0,745.0,1.64782526567164,608.5,472.0,563.0,654.0,745.0,Unknown,Other,0.393860873031692,8.692857142857143
Trampoline,207.0,246.0,286.0,326.0,0.721008179104478,266.25,207.0,246.0,286.0,326.0,Unknown,Other,0.1209886386286627,3.803571428571429
"Volleyball, competitive",472.0,563.0,654.0,745.0,1.64782526567164,608.5,472.0,563.0,654.0,745.0,Unknown,Other,0.393860873031692,8.692857142857143
Playing volleyball,177.0,211.0,245.0,279.0,0.61742672238806,228.0,177.0,211.0,245.0,279.0,Unknown,Other,0.0904923260912897,3.257142857142857
"Volleyball, beach",472.0,563.0,654.0,745.0,1.64782526567164,608.5,472.0,563.0,654.0,745.0,Unknown,Other,0.393860873031692,8.692857142857143
Wrestling,354.0,422.0,490.0,558.0,1.23485344477612,456.0,354.0,422.0,490.0,558.0,Unknown,Other,0.2722742674905326,6.514285714285714
Wallyball,413.0,493.0,572.0,651.0,1.44133935522388,532.25,413.0,493.0,572.0,651.0,Unknown,Other,0.3330675702611123,7.603571428571429
"Backpacking, Hiking with pack",413.0,493.0,572.0,651.0,1.44133935522388,532.25,413.0,493.0,572.0,651.0,Unknown,Other,0.3330675702611123,7.603571428571429
"Carrying infant, level ground",207.0,246.0,286.0,326.0,0.721008179104478,266.25,207.0,246.0,286.0,326.0,Unknown,Other,0.1209886386286627,3.803571428571429
"Carrying infant, upstairs",295.0,352.0,409.0,465.0,1.02972154029851,380.25,295.0,352.0,409.0,465.0,Unknown,Other,0.2118796093282847,5.432142857142857
"Carrying 16 to 24 lbs, upstairs",354.0,422.0,490.0,558.0,1.23485344477612,456.0,354.0,422.0,490.0,558.0,Unknown,Other,0.2722742674905326,6.514285714285714
"Carrying 25 to 49 lbs, upstairs",472.0,563.0,654.0,745.0,1.64782526567164,608.5,472.0,563.0,654.0,745.0,Unknown,Other,0.393860873031692,8.692857142857143
"Standing, playing with children, light",165.0,197.0,229.0,261.0,0.576806543283582,213.0,165.0,197.0,229.0,261.0,Low,Other,0.0785329878413395,3.0428571428571427
"Walk/run, playing with children, moderate",236.0,281.0,327.0,372.0,0.823235629850746,304.0,236.0,281.0,327.0,372.0,Moderate,Other,0.1510863065577038,4.342857142857143
"Walk/run, playing with children, vigorous",295.0,352.0,409.0,465.0,1.02972154029851,380.25,295.0,352.0,409.0,465.0,High,Other,0.2118796093282847,5.432142857142857
Carrying small children,177.0,211.0,245.0,279.0,0.61742672238806,228.0,177.0,211.0,245.0,279.0,Unknown,Other,0.0904923260912897,3.257142857142857
"Loading, unloading car",177.0,211.0,245.0,279.0,0.61742672238806,228.0,177.0,211.0,245.0,279.0,Unknown,Other,0.0904923260912897,3.257142857142857
"Climbing hills, carrying up to 9 lbs",413.0,493.0,572.0,651.0,1.44133935522388,532.25,413.0,493.0,572.0,651.0,Unknown,Other,0.3330675702611123,7.603571428571429
"Climbing hills, carrying 10 to 20 lb",443.0,528.0,613.0,698.0,1.5449208119403,570.5,443.0,528.0,613.0,698.0,Unknown,Other,0.3635638827984858,8.15
"Climbing hills, carrying 21 to 42 lb",472.0,563.0,654.0,745.0,1.64782526567164,608.5,472.0,563.0,654.0,745.0,Unknown,Other,0.393860873031692,8.692857142857143
"Climbing hills, carrying over 42 lb",531.0,633.0,735.0,838.0,1.85295717014925,684.25,531.0,633.0,735.0,838.0,Unknown,Other,0.4542555311939398,9.775
Walking downstairs,177.0,211.0,245.0,279.0,0.61742672238806,228.0,177.0,211.0,245.0,279.0,Unknown,Other,0.0904923260912897,3.257142857142857
"Hiking, cross country",354.0,422.0,490.0,558.0,1.23485344477612,456.0,354.0,422.0,490.0,558.0,Unknown,Other,0.2722742674905326,6.514285714285714
Bird watching,148.0,176.0,204.0,233.0,0.515199271641791,190.25,148.0,176.0,204.0,233.0,Unknown,Other,0.0603946581622484,2.717857142857143
"Marching, rapidly, military",384.0,457.0,531.0,605.0,1.33843490149254,494.25,384.0,457.0,531.0,605.0,Unknown,Other,0.3027705800279061,7.060714285714286
"Children's games, hopscotch, dodgeball",295.0,352.0,409.0,465.0,1.02972154029851,380.25,295.0,352.0,409.0,465.0,Unknown,Other,0.2118796093282847,5.432142857142857
Pushing stroller or walking with children,148.0,176.0,204.0,233.0,0.515199271641791,190.25,148.0,176.0,204.0,233.0,Unknown,Other,0.0603946581622484,2.717857142857143
Pushing a wheelchair,236.0,281.0,327.0,372.0,0.823235629850746,304.0,236.0,281.0,327.0,372.0,Unknown,Other,0.1510863065577038,4.342857142857143
Race walking,384.0,457.0,531.0,605.0,1.33843490149254,494.25,384.0,457.0,531.0,605.0,Unknown,Other,0.3027705800279061,7.060714285714286
"Rock climbing, mountain climbing",472.0,563.0,654.0,745.0,1.64782526567164,608.5,472.0,563.0,654.0,745.0,Unknown,Other,0.393860873031692,8.692857142857143
Walking using crutches,295.0,352.0,409.0,465.0,1.02972154029851,380.25,295.0,352.0,409.0,465.0,Unknown,Other,0.2118796093282847,5.432142857142857
Walking the dog,177.0,211.0,245.0,279.0,0.61742672238806,228.0,177.0,211.0,245.0,279.0,Unknown,Other,0.0904923260912897,3.257142857142857
"Walking, under 2.0 mph, very slow",118.0,141.0,163.0,186.0,0.411617814925373,152.0,118.0,141.0,163.0,186.0,Low,Other,0.0298983456248754,2.1714285714285717
"Walking 2.0 mph, slow",148.0,176.0,204.0,233.0,0.515199271641791,190.25,148.0,176.0,204.0,233.0,Low,Other,0.0603946581622484,2.717857142857143
Walking 2.5 mph,177.0,211.0,245.0,279.0,0.61742672238806,228.0,177.0,211.0,245.0,279.0,Unknown,Other,0.0904923260912897,3.257142857142857
"Walking 3.0 mph, moderate",195.0,232.0,270.0,307.0,0.679710997014925,251.0,195.0,232.0,270.0,307.0,Moderate,Other,0.1088299780745465,3.585714285714286
"Walking 3.5 mph, brisk pace",224.0,267.0,311.0,354.0,0.782615450746269,289.0,224.0,267.0,311.0,354.0,Unknown,Other,0.1391269683077538,4.128571428571429
